highway,edge_count,mean_congestion,max_congestion,mean_accident,mean_traffic,total_length_km,road_type_rank
motorway,54,0.6152673672746729,0.6807129979133606,0.047126867550134524,0.4296726147171383,54.408204649088745,7
motorway_link,93,0.40549791916724176,0.6473924517631531,0.010361965445854588,0.03556274132291702,18.931500606815245,6
trunk,1066,0.6306825902515684,0.6893368363380432,0.046666379593053975,0.3868536921896817,254.46794592915353,6
primary,4087,0.61695596793038,0.9361724853515625,0.0403138773966914,0.4079461863086488,456.47424730246087,5
trunk_link,377,0.4422433172360023,0.6846137046813965,0.014181355233284008,0.0718680299375691,21.26112863901905,5
primary_link,439,0.4265217474218382,0.6474349498748779,0.016162416540527826,0.09008638119289081,24.791776442081908,4
secondary,13649,0.6183210907357806,0.7773971557617188,0.04345255157149793,0.3989975298774315,884.8466246018141,4
secondary_link,368,0.4239762481302023,0.6378255486488342,0.01621172041963593,0.09424345616769003,11.103041956314641,3
tertiary,39618,0.5618574602533262,0.9099960923194885,0.0357224260582182,0.3127628328608254,2315.580693395191,3
residential,327052,0.41956443138201976,0.7770282030105591,0.016634070163215615,0.09870842955321982,19792.281998675062,2
tertiary_link,215,0.38709578292314395,0.6189901232719421,0.011201414489857254,0.03973455393623195,8.637826913155477,2
busway,4,0.3770395666360855,0.39486411213874817,0.00831293585184501,0.008382750054350036,0.33252726317148373,1
living_street,5104,0.3786655659714369,0.6537978053092957,0.011712196719622325,0.045278629659417896,262.4372585294016,1
road,24,0.3630547920862834,0.38672158122062683,0.00831293585184501,0.008382750054350036,0.9531778850363131,1
unclassified,1353,0.4176804527298927,0.6498909592628479,0.01709125299868654,0.10397475925721478,133.19799405404774,1
